;scaler;dimension;best_params;best_value
0;standard;3;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 17, 'max_iter': 276};0.5457068681716919
1;standard;4;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 16, 'max_iter': 293};0.559168815612793
2;standard;5;{'n_clusters': 3, 'init': 'random', 'n_init': 11, 'max_iter': 255};0.5516986846923828
3;standard;6;{'n_clusters': 3, 'init': 'random', 'n_init': 20, 'max_iter': 184};0.5552834868431091
4;standard;7;{'n_clusters': 3, 'init': 'random', 'n_init': 12, 'max_iter': 143};0.5380354523658752
5;standard;8;{'n_clusters': 3, 'init': 'random', 'n_init': 12, 'max_iter': 109};0.5285621285438538
6;standard;9;{'n_clusters': 3, 'init': 'random', 'n_init': 17, 'max_iter': 211};0.5467957854270935
7;standard;10;{'n_clusters': 3, 'init': 'random', 'n_init': 17, 'max_iter': 131};0.5377156734466553
8;standard;11;{'n_clusters': 3, 'init': 'random', 'n_init': 18, 'max_iter': 274};0.5539535284042358
9;standard;12;{'n_clusters': 3, 'init': 'random', 'n_init': 12, 'max_iter': 119};0.5556391477584839
10;standard;13;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 20, 'max_iter': 210};0.5671478509902954
11;standard;14;{'n_clusters': 3, 'init': 'random', 'n_init': 15, 'max_iter': 115};0.5593526363372803
12;minmax;3;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 19, 'max_iter': 155};0.5436083674430847
13;minmax;4;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 18, 'max_iter': 224};0.5473308563232422
14;minmax;5;{'n_clusters': 3, 'init': 'random', 'n_init': 20, 'max_iter': 259};0.5414472222328186
15;minmax;6;{'n_clusters': 3, 'init': 'random', 'n_init': 18, 'max_iter': 127};0.5498650670051575
16;minmax;7;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 11, 'max_iter': 182};0.5478655695915222
17;minmax;8;{'n_clusters': 3, 'init': 'random', 'n_init': 12, 'max_iter': 162};0.5407097935676575
18;minmax;9;{'n_clusters': 3, 'init': 'random', 'n_init': 16, 'max_iter': 300};0.5417499542236328
19;minmax;10;{'n_clusters': 3, 'init': 'random', 'n_init': 10, 'max_iter': 222};0.5514127016067505
20;minmax;11;{'n_clusters': 3, 'init': 'random', 'n_init': 19, 'max_iter': 215};0.5581818222999573
21;minmax;12;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 19, 'max_iter': 265};0.5571086406707764
22;minmax;13;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 16, 'max_iter': 188};0.5552269220352173
23;minmax;14;{'n_clusters': 3, 'init': 'random', 'n_init': 10, 'max_iter': 241};0.5606988668441772
24;robust;3;{'n_clusters': 3, 'init': 'random', 'n_init': 12, 'max_iter': 250};0.5521469116210938
25;robust;4;{'n_clusters': 3, 'init': 'random', 'n_init': 12, 'max_iter': 127};0.5424574613571167
26;robust;5;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 14, 'max_iter': 255};0.5622953772544861
27;robust;6;{'n_clusters': 3, 'init': 'random', 'n_init': 18, 'max_iter': 186};0.5434373021125793
28;robust;7;{'n_clusters': 3, 'init': 'random', 'n_init': 17, 'max_iter': 212};0.5511031746864319
29;robust;8;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 14, 'max_iter': 297};0.543599009513855
30;robust;9;{'n_clusters': 3, 'init': 'random', 'n_init': 10, 'max_iter': 151};0.551464855670929
31;robust;10;{'n_clusters': 3, 'init': 'random', 'n_init': 17, 'max_iter': 162};0.5562078356742859
32;robust;11;{'n_clusters': 3, 'init': 'random', 'n_init': 13, 'max_iter': 105};0.5594103336334229
33;robust;12;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 16, 'max_iter': 269};0.5644246339797974
34;robust;13;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 12, 'max_iter': 207};0.5423142910003662
35;robust;14;{'n_clusters': 3, 'init': 'random', 'n_init': 20, 'max_iter': 264};0.5493565797805786
36;maxabs;3;{'n_clusters': 3, 'init': 'random', 'n_init': 14, 'max_iter': 211};0.5613318085670471
37;maxabs;4;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 14, 'max_iter': 125};0.5519717335700989
38;maxabs;5;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 20, 'max_iter': 160};0.5598821043968201
39;maxabs;6;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 15, 'max_iter': 170};0.5471120476722717
40;maxabs;7;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 10, 'max_iter': 291};0.5516790151596069
41;maxabs;8;{'n_clusters': 3, 'init': 'random', 'n_init': 15, 'max_iter': 239};0.5569263100624084
42;maxabs;9;{'n_clusters': 3, 'init': 'random', 'n_init': 17, 'max_iter': 191};0.5687280297279358
43;maxabs;10;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 10, 'max_iter': 190};0.5538007616996765
44;maxabs;11;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 10, 'max_iter': 140};0.568470299243927
45;maxabs;12;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 18, 'max_iter': 273};0.5651041865348816
46;maxabs;13;{'n_clusters': 3, 'init': 'k-means++', 'n_init': 11, 'max_iter': 177};0.552801787853241
47;maxabs;14;{'n_clusters': 3, 'init': 'random', 'n_init': 11, 'max_iter': 113};0.5568230748176575
